length,length,ID,count,type
98,98,EE87920,6784.0,A
99,99,EE87920,69428.0,A
100,100,EE87920,97589.0,A
101,101,EE87920,103770.0,A
102,102,EE87920,91535.0,A
103,103,EE87920,68515.0,A
104,104,EE87920,48425.0,A
105,105,EE87920,38200.0,A
106,106,EE87920,36239.0,A
107,107,EE87920,39678.0,A
108,108,EE87920,47268.0,A
109,109,EE87920,65323.0,A
110,110,EE87920,100722.0,A
111,111,EE87920,142128.0,A
112,112,EE87920,148104.0,A
113,113,EE87920,121256.0,A
114,114,EE87920,90673.0,A
115,115,EE87920,73777.0,A
116,116,EE87920,73995.0,A
117,117,EE87920,85202.0,A
118,118,EE87920,105107.0,A
119,119,EE87920,148367.0,A
120,120,EE87920,243631.0,A
121,121,EE87920,377293.0,A
122,122,EE87920,414111.0,A
123,123,EE87920,337690.0,A
124,124,EE87920,254594.0,A
125,125,EE87920,207194.0,A
126,126,EE87920,192130.0,A
127,127,EE87920,208441.0,A
128,128,EE87920,248016.0,A
129,129,EE87920,331894.0,A
130,130,EE87920,526533.0,A
131,131,EE87920,880056.0,A
132,132,EE87920,1232678.0,A
133,133,EE87920,1292074.0,A
134,134,EE87920,1024156.0,A
135,135,EE87920,744874.0,A
136,136,EE87920,605551.0,A
137,137,EE87920,570282.0,A
138,138,EE87920,614952.0,A
139,139,EE87920,801468.0,A
140,140,EE87920,1228902.0,A
141,141,EE87920,1760986.0,A
142,142,EE87920,2132383.0,A
143,143,EE87920,2289272.0,A
144,144,EE87920,2144236.0,A
145,145,EE87920,1721271.0,A
146,146,EE87920,1284638.0,A
147,147,EE87920,1048112.0,A
148,148,EE87920,1009212.0,A
149,149,EE87920,1176777.0,A
150,150,EE87920,1668093.0,A
151,151,EE87920,2490952.0,A
152,152,EE87920,3153843.0,A
153,153,EE87920,3170630.0,A
154,154,EE87920,2646444.0,A
155,155,EE87920,2014207.0,A
156,156,EE87920,1551554.0,A
157,157,EE87920,1328779.0,A
158,158,EE87920,1356150.0,A
159,159,EE87920,1706042.0,A
160,160,EE87920,2313836.0,A
161,161,EE87920,2788049.0,A
162,162,EE87920,2814132.0,A
163,163,EE87920,2475119.0,A
164,164,EE87920,2013524.0,A
165,165,EE87920,1603796.0,A
166,166,EE87920,1333685.0,A
167,167,EE87920,1178653.0,A
168,168,EE87920,1128781.0,A
169,169,EE87920,1168874.0,A
170,170,EE87920,1250569.0,A
171,171,EE87920,1301511.0,A
172,172,EE87920,1300840.0,A
173,173,EE87920,1258485.0,A
174,174,EE87920,1200153.0,A
175,175,EE87920,1122350.0,A
176,176,EE87920,1023783.0,A
177,177,EE87920,932047.0,A
178,178,EE87920,863159.0,A
179,179,EE87920,807608.0,A
180,180,EE87920,772077.0,A
181,181,EE87920,750212.0,A
182,182,EE87920,726471.0,A
183,183,EE87920,704242.0,A
184,184,EE87920,678325.0,A
185,185,EE87920,649047.0,A
186,186,EE87920,613083.0,A
187,187,EE87920,577998.0,A
188,188,EE87920,542971.0,A
189,189,EE87920,508019.0,A
190,190,EE87920,480547.0,A
191,191,EE87920,453732.0,A
192,192,EE87920,430830.0,A
193,193,EE87920,413001.0,A
194,194,EE87920,393749.0,A
195,195,EE87920,377617.0,A
196,196,EE87920,359668.0,A
197,197,EE87920,340586.0,A
198,198,EE87920,321539.0,A
199,199,EE87920,305353.0,A
200,200,EE87920,287213.0,A
201,201,EE87920,271101.0,A
202,202,EE87920,255689.0,A
203,203,EE87920,242732.0,A
204,204,EE87920,230201.0,A
205,205,EE87920,219293.0,A
206,206,EE87920,209256.0,A
207,207,EE87920,199411.0,A
208,208,EE87920,189978.0,A
209,209,EE87920,179164.0,A
210,210,EE87920,169858.0,A
211,211,EE87920,160070.0,A
212,212,EE87920,150436.0,A
213,213,EE87920,141368.0,A
214,214,EE87920,133119.0,A
215,215,EE87920,127392.0,A
216,216,EE87920,120147.0,A
217,217,EE87920,114356.0,A
218,218,EE87920,108616.0,A
219,219,EE87920,103624.0,A
220,220,EE87920,98222.0,A
221,221,EE87920,92565.0,A
222,222,EE87920,87303.0,A
223,223,EE87920,81383.0,A
224,224,EE87920,76982.0,A
225,225,EE87920,72687.0,A
226,226,EE87920,68506.0,A
227,227,EE87920,65868.0,A
228,228,EE87920,62162.0,A
229,229,EE87920,59724.0,A
230,230,EE87920,57332.0,A
98,98,EE88290,456.0,A
99,99,EE88290,7109.0,A
100,100,EE88290,8288.0,A
101,101,EE88290,10906.0,A
102,102,EE88290,11877.0,A
103,103,EE88290,12317.0,A
104,104,EE88290,12080.0,A
105,105,EE88290,12393.0,A
106,106,EE88290,13566.0,A
107,107,EE88290,15034.0,A
108,108,EE88290,16824.0,A
109,109,EE88290,18787.0,A
110,110,EE88290,22373.0,A
111,111,EE88290,25855.0,A
112,112,EE88290,27153.0,A
113,113,EE88290,25733.0,A
114,114,EE88290,24342.0,A
115,115,EE88290,25589.0,A
116,116,EE88290,28803.0,A
117,117,EE88290,32778.0,A
118,118,EE88290,36838.0,A
119,119,EE88290,41964.0,A
120,120,EE88290,53001.0,A
121,121,EE88290,70505.0,A
122,122,EE88290,85612.0,A
123,123,EE88290,86808.0,A
124,124,EE88290,73558.0,A
125,125,EE88290,62775.0,A
126,126,EE88290,64396.0,A
127,127,EE88290,72320.0,A
128,128,EE88290,83930.0,A
129,129,EE88290,97208.0,A
130,130,EE88290,121284.0,A
131,131,EE88290,158752.0,A
132,132,EE88290,213264.0,A
133,133,EE88290,268356.0,A
134,134,EE88290,286833.0,A
135,135,EE88290,266326.0,A
136,136,EE88290,253333.0,A
137,137,EE88290,278919.0,A
138,138,EE88290,338689.0,A
139,139,EE88290,416913.0,A
140,140,EE88290,496966.0,A
141,141,EE88290,563277.0,A
142,142,EE88290,597265.0,A
143,143,EE88290,609107.0,A
144,144,EE88290,621688.0,A
145,145,EE88290,633600.0,A
146,146,EE88290,637411.0,A
147,147,EE88290,655819.0,A
148,148,EE88290,692126.0,A
149,149,EE88290,738319.0,A
150,150,EE88290,787396.0,A
151,151,EE88290,838970.0,A
152,152,EE88290,892043.0,A
153,153,EE88290,903829.0,A
154,154,EE88290,892833.0,A
155,155,EE88290,917356.0,A
156,156,EE88290,984388.0,A
157,157,EE88290,1086213.0,A
158,158,EE88290,1203468.0,A
159,159,EE88290,1312744.0,A
160,160,EE88290,1398556.0,A
161,161,EE88290,1474651.0,A
162,162,EE88290,1576852.0,A
163,163,EE88290,1754082.0,A
164,164,EE88290,1988779.0,A
165,165,EE88290,2163887.0,A
166,166,EE88290,2166596.0,A
167,167,EE88290,2058929.0,A
168,168,EE88290,1911283.0,A
169,169,EE88290,1750262.0,A
170,170,EE88290,1583374.0,A
171,171,EE88290,1420515.0,A
172,172,EE88290,1290203.0,A
173,173,EE88290,1194915.0,A
174,174,EE88290,1125444.0,A
175,175,EE88290,1058684.0,A
176,176,EE88290,981211.0,A
177,177,EE88290,887107.0,A
178,178,EE88290,787470.0,A
179,179,EE88290,692567.0,A
180,180,EE88290,607016.0,A
181,181,EE88290,532153.0,A
182,182,EE88290,467991.0,A
183,183,EE88290,420703.0,A
184,184,EE88290,380770.0,A
185,185,EE88290,350521.0,A
186,186,EE88290,325073.0,A
187,187,EE88290,300302.0,A
188,188,EE88290,275852.0,A
189,189,EE88290,250796.0,A
190,190,EE88290,224379.0,A
191,191,EE88290,200784.0,A
192,192,EE88290,178657.0,A
193,193,EE88290,159178.0,A
194,194,EE88290,144811.0,A
195,195,EE88290,132377.0,A
196,196,EE88290,122986.0,A
197,197,EE88290,115816.0,A
198,198,EE88290,109314.0,A
199,199,EE88290,102771.0,A
200,200,EE88290,95466.0,A
201,201,EE88290,87401.0,A
202,202,EE88290,80237.0,A
203,203,EE88290,73427.0,A
204,204,EE88290,66813.0,A
