length,EE87920,EE88290,EE88291,EE88292,EE88293,EE88294,EE88295,EE88296,EE88297,EE88298,EE88299,EE88301,EE88302,EE88303,EE88304,EE88305,EE88306,EE88307,EE88308,EE88309,EE88310,EE88311,EE88312,EE88313,EE88314,EE88315,EE88316,EE88317,EE88318,EE88319,EE88320,EE88321,EE88322,EE88323,EE88324
98,6784,456,682,323,731,1103,1071,959,586,976,732,864,692,829,1294,511,447,719,714,2166,945,697,1560,512,538,646,600,1147,993,777,694,599,1163,1349,968
99,69428,7109,2878,1266,4594,2177,5349,2142,1631,6993,3923,4747,3064,4607,6672,3315,1458,3556,5616,6108,8794,6297,13875,2625,4645,5581,4838,10525,6812,7757,5810,1835,8730,10689,13413
100,97589,8288,3326,1691,5393,3104,6347,5404,4297,8051,4842,5528,3627,5355,7750,4048,1785,4516,6760,7107,10792,7800,16608,5726,5857,6758,5631,12837,8121,9771,6836,2628,10095,13290,16115
101,103770,10906,3877,1856,5891,3277,7113,5988,4512,8916,5482,9924,3981,6187,8751,4452,2131,5108,7591,7742,12126,8740,18830,6493,6454,7501,6402,14730,9079,11428,7672,3020,11748,15371,17850
102,91535,11877,4087,5834,6334,3493,7751,6503,4932,9974,6012,11032,4229,6839,9729,4888,2151,5446,8154,8256,13651,9577,20384,7139,7064,8101,6567,16017,9805,12256,8361,3173,12586,16719,18611
103,68515,12317,4231,6227,6725,3751,8342,6817,5495,10517,6204,11860,4489,7267,10231,5125,2233,5910,8281,8514,14134,9669,21084,7388,7237,8498,7006,16495,10104,12743,8796,3315,13480,17447,18828
104,48425,12080,4479,6289,6741,5600,8432,6811,5534,10541,6162,11706,4546,7427,10341,5203,2229,5811,8222,8742,14214,9761,21002,7360,7186,8305,7001,16204,10057,12329,9267,7568,13362,17451,18397
105,38200,12393,4421,6557,6997,5838,8568,6857,5703,10712,6356,12037,4739,7719,11040,5246,2387,6209,8110,8980,14495,9715,21073,7667,7372,8355,7056,16190,10167,12081,9401,7808,13507,17990,17695
106,36239,13566,5078,7087,7873,6427,9529,7583,6456,12073,6992,13273,5376,8676,12141,5814,2651,7053,8966,9823,16220,10719,22720,8144,7963,9146,7674,17867,10886,12929,10406,8603,14497,19675,19537
107,39678,15034,5870,8086,8889,6915,10666,8805,7367,13553,7864,15148,6074,9978,13902,6581,3047,8053,10028,10793,18358,12079,25991,9461,9102,10566,8714,20348,12453,14992,11916,9438,16247,22121,21773
108,47268,16824,6921,9216,10427,7616,12120,9950,8306,15122,9524,17254,6816,11296,15918,7652,3583,9276,11507,12314,21312,14155,29851,10761,10597,12145,10035,23019,13928,17819,13547,10593,18567,25559,24506
109,65323,18787,8217,10656,12358,8606,14897,11851,9617,16827,11469,19938,8218,13041,17843,9215,4338,10456,13863,13845,24963,16948,35661,12859,12995,14463,11690,26757,15482,22300,15721,12412,21906,30356,28764
110,100722,22373,9972,12580,15029,9450,18047,14094,11688,19234,14435,23699,9855,15447,20845,11643,5454,12922,16714,16514,30336,21642,44475,15605,16438,17544,14402,32739,17943,29305,18974,14533,26655,36689,35039
111,142128,25855,11724,14536,17543,10535,21474,16295,13462,21707,16815,27332,11515,18116,23683,13604,6326,14965,19990,19025,35851,25810,52704,17846,19809,20491,16891,38494,19963,36523,21671,16203,31000,42893,40431
112,148104,27153,12416,14964,18498,11504,22933,17182,14255,22589,17670,28482,12231,19195,24822,14254,6677,15375,20628,19939,37657,27016,54540,18949,20552,21359,17578,39337,20818,38398,22746,17050,32629,45498,40338
113,121256,25733,11820,14109,17408,11488,22185,16418,13235,21528,16489,26835,11546,18299,23398,12783,6454,14863,18624,18539,34878,24672,50065,17942,18517,19155,16187,36072,19609,33988,20944,16160,31311,42912,35626
