length,EE87786,EE87787,EE87788,EE87789,EE87790,EE87791,EE87792,EE87793,EE87794,EE87795,EE87796,EE87797,EE87798,EE87799,EE87800,EE87801,EE87802,EE87803,EE87804,EE87805,EE87806,EE87807,EE87809,EE87810,EE88325
101,4510,7576,11008,9049,13774,8562,18315,2335,7290,7343,7171,7970,9748,20200,12269,9909,8639,11720,16190,3157,10768,6408,1572,7847,14630
102,6264,8179,12229,9898,14830,9120,19399,3537,7864,7875,7848,8689,10561,22371,12965,10715,9383,12629,17651,3347,11656,6792,5408,8725,15340
103,6614,8430,12644,10025,15535,9501,19127,4184,8289,8063,8270,8748,10964,23379,13352,11159,9391,12630,17879,6832,11753,6872,5652,9021,16140
104,7008,8633,12627,10089,15711,9518,19217,4233,8324,7712,8096,8790,10287,22819,13210,11092,9415,12261,17683,6934,11538,6910,5715,9028,16738
105,7400,9041,12486,10162,15408,9613,19842,4455,8353,7873,8462,8639,12136,22362,13227,11027,9246,12349,17919,7270,11576,6931,5772,9230,17798
106,8041,10029,13776,11285,17001,10494,21412,9062,9366,8287,9070,9397,13238,23431,14133,11862,10295,13142,19465,8068,12385,7554,7140,9855,19333
107,8976,11530,15789,12918,18778,11808,23926,9807,10556,9554,10061,10511,14878,25806,15727,13164,11518,14629,21928,9225,13890,8627,7944,11216,21570
108,10503,12847,18488,14968,21549,13504,27067,10679,11849,10529,11790,11933,16262,28099,17299,14764,13299,16085,24907,10220,15705,9541,8800,12614,23573
109,11760,14125,23094,18128,25074,15641,30837,11754,13507,12843,13345,13967,18148,31350,19148,17008,15703,18258,28761,11994,17590,11274,9689,14496,26181
110,14498,16082,29842,22172,30473,18529,35972,13221,15757,15351,15842,16820,20657,35905,22448,20121,19178,21873,34956,14551,20605,13540,11167,17498,29117
111,16766,18595,36233,26345,36076,20991,38387,14806,17957,17991,18371,19275,23256,40637,25070,23472,22714,25184,40544,16846,23517,15796,12359,20609,32560
112,17429,19760,38178,26916,38322,21623,37677,15214,18792,18554,18905,19852,23636,42151,25775,24706,23363,26413,41869,17816,24655,16324,12761,21963,34625
113,16081,18634,34230,24840,36039,20390,34718,14807,17605,16742,17831,18412,21640,40317,23898,23039,21428,24298,38588,16989,23202,14874,12123,21026,34480
114,15325,18292,31455,23290,33822,19225,33051,14767,17060,15502,16998,17025,20306,37799,22856,22027,19893,23162,36443,17032,22691,14191,11795,20636,35010
115,15850,19179,32081,23909,35573,20079,34079,15330,17867,15858,17822,17425,21184,39178,23934,22861,20617,24065,37149,18122,23391,14540,12296,21738,36877
116,17855,21392,35329,26345,38448,22288,37076,17036,19521,17343,19246,18691,23161,42214,26098,25443,22606,26122,41341,20280,25564,16192,13575,24010,40703
