length,EE87811,EE87812,EE87813,EE87815,EE87816,EE87817,EE87818,EE87819,EE87820,EE87821,EE87822,EE87823,EE87824,EE87825,EE87826,EE87827,EE87828,EE87829,EE87830,EE87831,EE87832,EE87833,EE87834,EE87835,EE87836,EE87837,EE87838,EE87839,EE87840,EE87841,EE87842,EE87843,EE87844,EE87845,EE87846,EE87847,EE87848,EE87849,EE87850,EE87851,EE87852,EE87853,EE87854,EE87855,EE87856,EE87857,EE87858,EE87859,EE87860,EE87861,EE87862,EE87863,EE87864
96,2015,178,428,2578,2591,3345,2522,5459,2390,3392,2790,2788,3191,3501,1956,2481,2184,2707,757,2562,2703,2135,2047,1602,1218,5076,2382,2425,2491,4029,2331,1962,1435,2490,1860,2011,2830,2470,2108,2685,4657,2192,1774,880,2284,1774,1279,1881,1808,1354,3384,8640,1644
97,2014,342,472,2639,2611,3261,2451,5473,2380,3450,2782,2768,3205,3291,1895,2423,2281,2673,756,2597,2754,1963,2209,1624,1380,5006,2215,2730,2326,4163,2330,2099,1427,2373,1808,1932,2869,2708,2117,3002,4576,2147,1873,983,2490,1733,1280,2046,1879,1383,3367,8844,1761
98,2448,431,2099,2732,2741,3671,2557,5864,2635,3636,3070,2987,3488,4006,1989,2604,2629,2815,1102,2648,3154,2171,2231,1808,1372,5367,2394,2878,2557,5060,2855,2193,1477,2566,1857,1986,3335,2952,2244,3305,5443,2384,2107,1031,2584,1775,1488,2126,1749,1354,3490,9216,1795
99,13502,7436,7961,16554,26542,24257,21966,52450,20804,30773,21855,23266,27751,29852,12979,17594,17386,11570,7326,13895,22118,11949,15479,5836,4824,38199,17630,17626,14424,38910,12297,9850,4837,13082,8387,6024,13936,15049,9653,16822,21376,11597,9000,2531,10101,8243,3571,6232,4898,3694,16170,19129,9083
100,15793,9100,8916,20394,32946,27801,25892,64197,24636,35582,25668,27870,33231,35908,15376,20998,20625,13418,8960,16425,26411,14151,18605,6608,5287,46118,21931,19945,17468,46747,14165,11352,5450,15700,9726,6563,15849,17921,11140,19728,24100,13521,9926,2844,11375,9511,3970,7069,5727,4156,19604,21461,10712
101,17944,9441,9532,22570,37753,30390,28759,76484,27860,41195,28086,31846,36336,39589,16699,23282,22775,15286,12987,18208,30221,15883,20683,6944,5592,54222,23997,21835,19727,53210,15986,12787,6235,17735,10920,7610,17749,20484,11771,22216,26797,14813,10450,2829,12056,10276,4179,7556,6534,4452,21653,23983,12189
102,19210,11192,9936,23309,40007,31374,30329,85542,29200,44021,30549,34071,37034,41641,17349,24549,23684,16207,13582,19231,33410,17300,22056,7306,6111,60840,25349,23147,20441,58668,16613,13618,6425,18387,11651,7918,18645,21722,12394,23538,27905,15587,10905,3141,13442,10824,4320,8059,6544,4745,23217,25903,13130
103,19542,11513,10432,23412,39576,32696,30437,86920,29394,45265,31339,35183,37325,42400,17784,24500,24126,16764,13871,19766,34954,17561,22410,7740,6226,62718,24982,23968,21002,60607,17151,14262,6899,19296,11754,8048,19577,22506,12865,24720,29158,15728,11575,3147,13968,10808,4628,8916,6692,4922,23997,27172,13907
104,19507,11781,10544,22812,37027,32763,29842,82396,28861,44456,31263,33508,36212,41929,17805,23912,23917,16875,14197,19674,35057,17594,22299,8095,6576,61979,24350,23488,20539,58191,17945,14135,7076,19530,11827,8399,19975,22402,13167,25921,30637,16253,12057,3559,14017,10922,5042,9380,7145,5340,24140,27793,13973
105,19913,12312,10642,22067,35385,32089,28847,79286,28147,45412,31325,33065,35023,41213,17816,22849,23527,16555,14423,19520,35229,17887,22198,8229,6581,62254,23981,23371,20674,57373,17626,14251,7226,19455,12033,8442,19972,22170,13647,25027,30973,16411,12006,3628,14453,11542,5051,9519,7254,5443,24545,28042,13692
