length,EE88183,EE88184,EE88185,EE88186,EE88187,EE88188,EE88189,EE88190,EE88191,EE88192,EE88193,EE88194,EE88195,EE88196,EE88197,EE88198,EE88199,EE88200,EE88201,EE88202,EE88203,EE88204,EE88205,EE88206,EE88207,EE88208,EE88209,EE88210,EE88211,EE88212,EE88213,EE88214,EE88215,EE88216,EE88217,EE88218,EE88219,EE88220,EE88221,EE88222,EE88223,EE88224,EE88225,EE88226,EE88227,EE88228,EE88229,EE88230,EE88231,EE88232,EE88233,EE88234,EE88235,EE88236,EE88237,EE88238,EE88239,EE88240,EE88241,EE88242,EE88243,EE88244,EE88245,EE88246,EE88247,EE88248,EE88249,EE88250,EE88251,EE88252,EE88253,EE88254,EE88255,EE88256,EE88257,EE88258,EE88259,EE88260,EE88261
95,3594,2926,3819,3355,2164,1965,2564,1125,1550,2527,2065,1259,2686,3457,2854,1238,2466,4108,1640,24,736,1122,992,1678,2070,2624,2191,2179,2567,1790,1987,2317,18,2660,3728,3442,3580,2161,2643,2534,2513,2663,2627,2379,2438,1954,2182,2262,2539,2695,2321,1983,2454,2163,3574,3459,3027,1818,2783,1904,2305,2442,2007,2485,4055,3097,2473,2912,2920,2625,2815,2464,2792,2450,2584,2879,1576,2182,2012
96,3279,3279,3484,3166,2296,2126,2454,1073,1435,2485,1799,1220,2526,3270,2657,1400,2201,3720,1575,18,687,1126,895,1756,1854,2565,2028,2341,2380,1728,2414,2253,1447,2571,3718,3412,3366,2344,2548,2294,2195,2608,2434,2242,2408,2192,2287,2101,2445,2535,2270,1952,2275,2078,3510,3263,2796,2244,2699,2145,2463,2347,1933,2624,3819,2923,2595,2830,2718,2606,2614,2669,2611,2345,2349,3066,1424,2379,1870
97,3193,3179,3283,3035,2389,2124,2453,1272,1471,2514,1920,1179,2508,3155,2599,1432,2296,3754,1483,339,1012,1126,934,1755,1918,2457,1954,2326,2553,1745,2456,2186,1507,2474,4046,3281,3258,2320,2406,2307,2237,2594,2400,2479,2350,2356,2358,2219,2842,2482,2430,1978,2333,2077,3381,3691,2754,2215,2652,2211,2427,2535,1881,2764,4135,2903,2498,3097,2725,2482,2520,2656,2890,2332,2321,3037,1389,2385,1827
98,3827,3409,3608,3204,2451,2247,2838,1288,1667,2653,2250,1292,2916,3229,2669,1496,2422,3910,1568,1956,1079,1312,1170,1904,2001,2511,2176,2623,2842,1956,2500,2258,2113,2611,4257,3572,3766,2518,2515,2751,2717,2748,2509,2600,2792,2566,2398,2396,2891,2784,2636,2123,2399,2586,3673,3847,3124,2277,2866,2235,2516,2790,2227,2881,4602,3036,2814,3360,2951,2596,2677,2740,3130,2415,2428,3263,1455,2476,1963
99,16159,12033,14729,11268,10282,9984,19975,4014,5456,8571,8506,13068,11149,12655,9079,6150,23425,34638,5222,6418,3728,4141,4166,31610,26369,10927,21977,13209,14659,21890,9686,8248,7405,10857,16116,13395,13447,7861,10598,10266,8736,9759,9420,9007,11958,7249,9176,9005,10415,10058,8823,10196,10093,11958,23994,20073,14444,7085,11148,7676,10452,9051,7619,10168,16569,16725,15271,15838,15771,9131,11564,9505,14248,12084,12522,16876,5855,9699,9054
100,18886,14324,17031,13300,11754,11973,23605,4367,6142,9887,9246,15212,13005,15496,10472,6540,26152,39515,6263,7148,4037,4656,4644,31751,30408,11997,25600,16152,16299,24987,10890,9242,8331,11951,18411,15982,15284,8508,11869,11847,9642,11108,10966,10123,14044,8864,10257,10152,11800,11468,9899,11973,12403,14434,26690,22743,17011,7756,12375,8529,11922,10306,8680,11352,18349,20104,18090,18960,18995,10694,13528,10911,16457,14418,14827,19669,6672,10826,10245
101,21615,16602,19577,15245,13503,13401,27083,4638,6831,10635,10164,16873,14268,17761,11843,7337,28667,43464,6946,7783,4554,5251,5093,32997,32767,13081,28660,17138,18166,27611,12187,9956,8987,12735,21356,18784,17951,9435,13000,12873,10750,11821,12709,11451,15919,10221,11307,11191,13177,12688,11391,13545,14202,16414,28656,24351,18340,8605,13466,9430,13658,11455,9835,12675,21158,23174,20366,21283,21323,12001,15632,12757,18389,16456,16837,22455,7227,11896,11094
102,24205,19123,21818,16924,14802,14471,28844,4889,7043,11156,10659,17493,15189,18013,11959,7694,29877,44856,7249,7918,4537,5614,5369,34424,32590,13491,29993,18046,19179,28216,12862,10604,9420,13855,23397,19974,18994,9634,13544,13567,11165,12162,12948,11986,16352,10621,12590,11572,14266,13564,11519,13968,14884,16572,31046,25592,19505,8883,13465,9684,14299,11722,10186,13365,22530,24087,21137,22695,22629,12152,16035,12957,19459,17564,18112,23486,7649,13151,11592
103,25640,20815,23764,17986,15498,15431,29186,5253,7529,11363,10982,17198,15867,18725,12514,8087,29794,44304,7414,8223,4578,5988,5738,35243,31515,14059,30403,19065,19743,27557,13344,11064,10347,13994,24293,20943,20498,10188,13925,14448,11896,12679,13625,12768,16927,11188,13107,12265,15306,13972,12040,14176,15352,17442,32765,26722,19972,9293,13873,10016,14692,12644,10436,13905,24173,24570,21925,23417,23131,12985,16906,13732,19999,17932,18507,23549,7897,13445,12314
104,26202,22907,24161,18666,15341,15527,28694,5564,7855,11599,11900,16439,16553,18490,13069,8477,29180,42516,7510,8761,4685,6037,6049,35808,29260,15293,29388,20414,20700,26484,13549,11582,10243,14441,24884,21410,21059,10487,14564,14625,13012,12957,13984,12974,17273,11496,12958,12406,15425,14423,12211,13874,14869,16813,35223,28161,20670,9608,14381,10726,14971,12760,11030,14416,25773,24320,21263,24257,22650,12820,17315,14097,20358,18124,18312,23759,8205,13588,12561
