,gene_name,ID,event
0,A1CF,EE87811,GAIN
1,A2M,EE87811,GAIN
2,A2ML1,EE87811,GAIN
3,A3GALT2,EE87811,GAIN
4,A4GALT,EE87811,GAIN
5,A4GNT,EE87811,GAIN
6,AACS,EE87811,GAIN
7,AADAC,EE87811,GAIN
8,AADACL2,EE87811,GAIN
9,AADACL3,EE87811,GAIN
10,AADACL4,EE87811,GAIN
11,AADAT,EE87811,HETD
12,AAGAB,EE87811,GAIN
13,AAK1,EE87811,GAIN
14,AAMDC,EE87811,GAIN
15,AANAT,EE87811,GAIN
16,AAR2,EE87811,GAIN
17,AARD,EE87811,GAIN
18,AARS1,EE87811,GAIN
19,AARS2,EE87811,GAIN
20,AARSD1,EE87811,GAIN
21,AASDH,EE87811,GAIN
22,AASDHPPT,EE87811,GAIN
23,AASS,EE87811,GAIN
24,AATF,EE87811,GAIN
25,AATK,EE87811,GAIN
26,ABAT,EE87811,GAIN
27,ABCA1,EE87811,GAIN
28,ABCA10,EE87811,GAIN
29,ABCA12,EE87811,HETD
30,ABCA13,EE87811,GAIN
31,ABCA2,EE87811,GAIN
32,ABCA3,EE87811,HETD
33,ABCA4,EE87811,GAIN
34,ABCA5,EE87811,GAIN
35,ABCA6,EE87811,GAIN
36,ABCA7,EE87811,GAIN
37,ABCA8,EE87811,GAIN
38,ABCA9,EE87811,GAIN
39,ABCB1,EE87811,GAIN
40,ABCB10,EE87811,HETD
41,ABCB11,EE87811,HETD
42,ABCB4,EE87811,GAIN
43,ABCB5,EE87811,GAIN
44,ABCB6,EE87811,HETD
45,ABCB7,EE87811,GAIN
46,ABCB8,EE87811,GAIN
47,ABCB9,EE87811,GAIN
48,ABCC1,EE87811,GAIN
49,ABCC10,EE87811,GAIN
50,ABCC11,EE87811,GAIN
51,ABCC12,EE87811,GAIN
52,ABCC2,EE87811,GAIN
53,ABCC3,EE87811,GAIN
54,ABCC4,EE87811,GAIN
55,ABCC5,EE87811,HETD
56,ABCC6,EE87811,GAIN
57,ABCC8,EE87811,GAIN
58,ABCC9,EE87811,GAIN
59,ABCD1,EE87811,GAIN
60,ABCD2,EE87811,GAIN
61,ABCD3,EE87811,GAIN
62,ABCD4,EE87811,GAIN
63,ABCE1,EE87811,GAIN
64,ABCF1,EE87811,GAIN
65,ABCF2,EE87811,GAIN
66,ABCF2-H2BK1,EE87811,GAIN
67,ABCF3,EE87811,HETD
68,ABCG1,EE87811,GAIN
69,ABCG2,EE87811,GAIN
70,ABCG4,EE87811,GAIN
71,ABCG5,EE87811,GAIN
72,ABCG8,EE87811,GAIN
73,ABHD1,EE87811,GAIN
74,ABHD10,EE87811,GAIN
75,ABHD11,EE87811,GAIN
76,ABHD12,EE87811,GAIN
77,ABHD12B,EE87811,GAIN
78,ABHD13,EE87811,GAIN
79,ABHD14A,EE87811,GAIN
80,ABHD14B,EE87811,GAIN
81,ABHD16A,EE87811,GAIN
82,ABHD16B,EE87811,HETD
83,ABHD17A,EE87811,GAIN
84,ABHD17B,EE87811,GAIN
85,ABHD17C,EE87811,GAIN
86,ABHD18,EE87811,GAIN
87,ABHD2,EE87811,HETD
88,ABHD3,EE87811,GAIN
89,ABHD4,EE87811,GAIN
90,ABHD5,EE87811,GAIN
91,ABHD8,EE87811,GAIN
92,ABI1,EE87811,GAIN
93,ABI2,EE87811,HETD
94,ABI3,EE87811,HETD
95,ABI3BP,EE87811,GAIN
96,ABITRAM,EE87811,GAIN
97,ABL1,EE87811,GAIN
98,ABL2,EE87811,HETD
99,ABLIM1,EE87811,GAIN
100,ABLIM2,EE87811,GAIN
