sample,region-set,Dip_area,Dip_depth
EE87935,prostate_cluster2483_hg38,-0.11,0.76
EE87935,hepatocyte_all_hg38,-0.56,-0.28
EE87935,colon_cluster507_hg38,0.02,-0.54
EE87935,A549_hg38,0.68,0.59
EE87935,panc_epithel_cluster1974_hg38,1.78,-1.13
EE87935,HPF_lung_fibroblast_cluster1737_hg38,0.72,-1.22
EE87935,melano_SOX_clusters1863_2205_hg38,0.16,-1.39
EE87935,HeLa_cluster1777_hg38,-0.05,-1.94
EE87935,panc_adenoca_cluster1261_hg38,0.65,-0.75
EE87935,mammary_epithel_cluster2438_hg38,-0.58,-0.91
EE87935,hematopoietic_specific_liquorice_hg38,1.01,-0.45
EE87935,skeletal_muscle_cluster1518_hg38,0.86,-0.81
EE87935,SAEC_hg38,-0.35,0.2
EE87833,prostate_cluster2483_hg38,-0.63,1.49
EE87833,hepatocyte_all_hg38,1.01,-0.3
EE87833,colon_cluster507_hg38,0.2,-2.19
EE87833,A549_hg38,-0.76,-0.23
EE87833,panc_epithel_cluster1974_hg38,0.34,0.66
EE87833,HPF_lung_fibroblast_cluster1737_hg38,0.83,-1.1
EE87833,melano_SOX_clusters1863_2205_hg38,-2.11,-0.91
EE87833,HeLa_cluster1777_hg38,1.21,-1.79
EE87833,panc_adenoca_cluster1261_hg38,0.05,-0.29
EE87833,mammary_epithel_cluster2438_hg38,-0.53,-0.34
EE87833,hematopoietic_specific_liquorice_hg38,3.33,-8.51
EE87833,skeletal_muscle_cluster1518_hg38,-0.51,-0.72
EE87833,SAEC_hg38,0.14,0.51
EE87997,prostate_cluster2483_hg38,0.56,1.06
EE87997,hepatocyte_all_hg38,0.94,-1.19
EE87997,colon_cluster507_hg38,0.86,0.17
EE87997,A549_hg38,1.56,-0.01
EE87997,panc_epithel_cluster1974_hg38,-1.19,-0.07
EE87997,HPF_lung_fibroblast_cluster1737_hg38,-0.06,0.5
EE87997,melano_SOX_clusters1863_2205_hg38,0.85,-0.61
EE87997,HeLa_cluster1777_hg38,0.78,-0.2
EE87997,panc_adenoca_cluster1261_hg38,0.38,-0.72
EE87997,mammary_epithel_cluster2438_hg38,-0.13,0.22
EE87997,hematopoietic_specific_liquorice_hg38,-0.43,0.95
EE87997,skeletal_muscle_cluster1518_hg38,-0.02,-0.48
EE87997,SAEC_hg38,0.98,-1.41
EE88168,prostate_cluster2483_hg38,-0.8,1.39
EE88168,hepatocyte_all_hg38,2.22,-1.4
EE88168,colon_cluster507_hg38,2.29,-2.5
EE88168,A549_hg38,0.35,0.06
EE88168,panc_epithel_cluster1974_hg38,1.41,-0.61
EE88168,HPF_lung_fibroblast_cluster1737_hg38,-1.09,0.4
EE88168,melano_SOX_clusters1863_2205_hg38,-0.22,-0.53
EE88168,HeLa_cluster1777_hg38,-1.13,-0.08
EE88168,panc_adenoca_cluster1261_hg38,1.98,0.25
EE88168,mammary_epithel_cluster2438_hg38,0.97,-0.61
EE88168,hematopoietic_specific_liquorice_hg38,-1.27,2.84
EE88168,skeletal_muscle_cluster1518_hg38,-0.12,-1.76
EE88168,SAEC_hg38,0.14,-0.69
EE88268,prostate_cluster2483_hg38,0.25,1.02
