sample,length,count
EE88253,106,19520.0
EE88253,107,21757.0
EE88253,108,23900.0
EE88253,109,27909.0
EE88253,110,33350.0
EE88253,111,37949.0
EE88253,112,40380.0
EE88253,113,37744.0
EE88253,114,36722.0
EE88253,115,37662.0
EE88253,116,41450.0
EE88253,117,45926.0
EE88253,118,51025.0
EE88253,119,58557.0
EE88253,120,70494.0
EE88253,121,90489.0
EE88253,122,105574.0
EE88253,123,104073.0
EE88253,124,87482.0
EE88253,125,75144.0
EE88253,126,75820.0
EE88253,127,82698.0
EE88253,128,92205.0
EE88253,129,103627.0
EE88253,130,123932.0
EE88253,131,155754.0
EE88253,132,201835.0
EE88253,133,245413.0
EE88253,134,259187.0
EE88253,135,231283.0
EE88253,136,213140.0
EE88253,137,225993.0
EE88253,138,265104.0
EE88253,139,322684.0
EE88253,140,385846.0
EE88253,141,431772.0
EE88253,142,446090.0
EE88253,143,443338.0
EE88253,144,442430.0
EE88253,145,447319.0
EE88253,146,445594.0
EE88253,147,447673.0
EE88253,148,468173.0
EE88253,149,494636.0
EE88253,150,527605.0
EE88253,151,565510.0
EE88253,152,594867.0
EE88253,153,594272.0
EE88253,154,577488.0
EE88253,155,586978.0
EE88253,156,619007.0
EE88253,157,676527.0
EE88253,158,748410.0
EE88253,159,816228.0
EE88253,160,865016.0
EE88253,161,898731.0
EE88253,162,944457.0
EE88253,163,1035047.0
EE88253,164,1172460.0
EE88253,165,1281813.0
EE88253,166,1297403.0
EE88253,167,1260958.0
EE88253,168,1189634.0
EE88253,169,1110888.0
EE88253,170,1021451.0
EE88253,171,940759.0
EE88253,172,871519.0
EE88253,173,831767.0
EE88253,174,801565.0
EE88253,175,773787.0
EE88253,176,732780.0
EE88253,177,679499.0
EE88253,178,619692.0
EE88253,179,556432.0
EE88253,180,501478.0
EE88253,181,448477.0
EE88253,182,403489.0
EE88253,183,366076.0
EE88253,184,338639.0
EE88253,185,318187.0
EE88253,186,299748.0
EE88253,187,280659.0
EE88253,188,262581.0
EE88253,189,242502.0
EE88253,190,221996.0
EE88253,191,200815.0
EE88253,192,181246.0
EE88253,193,165229.0
EE88253,194,150861.0
EE88253,195,140242.0
EE88253,196,131610.0
EE88253,197,124776.0
EE88253,198,118255.0
EE88253,199,112141.0
EE88253,200,105223.0
EE88253,201,97550.0
EE88253,202,90400.0
EE88253,203,82657.0
EE88253,204,76705.0
EE88253,205,70290.0
EE88253,206,65476.0
EE88253,207,61536.0
EE88253,208,58299.0
EE88253,209,54677.0
EE88253,210,51635.0
EE88253,211,48285.0
EE88253,212,44646.0
EE88253,213,40843.0
EE88253,214,37674.0
EE88253,215,35043.0
EE88253,216,32197.0
EE88253,217,30131.0
EE88253,218,28132.0
EE88253,219,26202.0
EE88253,220,24923.0
EE88253,221,23707.0
EE88253,222,21634.0
EE88253,223,20364.0
EE88253,224,18733.0
EE88253,225,16916.0
EE88030,106,11001.0
EE88030,107,12509.0
EE88030,108,14353.0
EE88030,109,16691.0
EE88030,110,20306.0
EE88030,111,23732.0
EE88030,112,24671.0
EE88030,113,22752.0
EE88030,114,21698.0
EE88030,115,21960.0
EE88030,116,23601.0
EE88030,117,25477.0
EE88030,118,29057.0
EE88030,119,34107.0
EE88030,120,42419.0
EE88030,121,53585.0
EE88030,122,63830.0
EE88030,123,63659.0
EE88030,124,52468.0
EE88030,125,43527.0
EE88030,126,41183.0
EE88030,127,44193.0
EE88030,128,49118.0
EE88030,129,55505.0
EE88030,130,65972.0
EE88030,131,82105.0
EE88030,132,108267.0
EE88030,133,134402.0
EE88030,134,142982.0
EE88030,135,124221.0
EE88030,136,110320.0
EE88030,137,113178.0
EE88030,138,131212.0
EE88030,139,162286.0
EE88030,140,200322.0
EE88030,141,230940.0
EE88030,142,241321.0
EE88030,143,242344.0
EE88030,144,245028.0
EE88030,145,249010.0
EE88030,146,249597.0
EE88030,147,250894.0
EE88030,148,262370.0
EE88030,149,282427.0
EE88030,150,304445.0
EE88030,151,332161.0
EE88030,152,357522.0
EE88030,153,360331.0
EE88030,154,344096.0
EE88030,155,342760.0
EE88030,156,357039.0
EE88030,157,388528.0
EE88030,158,434348.0
EE88030,159,484408.0
EE88030,160,526576.0
EE88030,161,553099.0
EE88030,162,576445.0
EE88030,163,619027.0
EE88030,164,690039.0
EE88030,165,754644.0
EE88030,166,782272.0
EE88030,167,790595.0
EE88030,168,779201.0
EE88030,169,760717.0
EE88030,170,728167.0
EE88030,171,688663.0
EE88030,172,655346.0
EE88030,173,641687.0
EE88030,174,631428.0
EE88030,175,625671.0
EE88030,176,615671.0
EE88030,177,588706.0
EE88030,178,554592.0
EE88030,179,517300.0
EE88030,180,479348.0
EE88030,181,442343.0
EE88030,182,408146.0
EE88030,183,380103.0
EE88030,184,357056.0
EE88030,185,341757.0
EE88030,186,328791.0
EE88030,187,314952.0
EE88030,188,303466.0
EE88030,189,287553.0
EE88030,190,266357.0
EE88030,191,247293.0
EE88030,192,225692.0
EE88030,193,206909.0
EE88030,194,191153.0
EE88030,195,179314.0
EE88030,196,168329.0
EE88030,197,161734.0
EE88030,198,154319.0
EE88030,199,146427.0
EE88030,200,137952.0
EE88030,201,129236.0
EE88030,202,119522.0
EE88030,203,109956.0
EE88030,204,101268.0
EE88030,205,93256.0
EE88030,206,86429.0
EE88030,207,80976.0
EE88030,208,76719.0
EE88030,209,73625.0
EE88030,210,69194.0
EE88030,211,64970.0
EE88030,212,60183.0
EE88030,213,55167.0
EE88030,214,50253.0
EE88030,215,46695.0
EE88030,216,43067.0
EE88030,217,39906.0
EE88030,218,37303.0
EE88030,219,35501.0
EE88030,220,33192.0
EE88030,221,31153.0
EE88030,222,29252.0
EE88030,223,26887.0
EE88030,224,24701.0
EE88030,225,22667.0
EE88039,106,12346.0
EE88039,107,13996.0
EE88039,108,15559.0
EE88039,109,18969.0
EE88039,110,22924.0
EE88039,111,26601.0
EE88039,112,27482.0
EE88039,113,25362.0
EE88039,114,23745.0
EE88039,115,24461.0
EE88039,116,26533.0
EE88039,117,29895.0
EE88039,118,33973.0
EE88039,119,39763.0
EE88039,120,48304.0
EE88039,121,61940.0
EE88039,122,73013.0
EE88039,123,71582.0
EE88039,124,59085.0
EE88039,125,49467.0
EE88039,126,47767.0
EE88039,127,51266.0
EE88039,128,57104.0
EE88039,129,65674.0
EE88039,130,78848.0
EE88039,131,98703.0
EE88039,132,129031.0
EE88039,133,160748.0
EE88039,134,169289.0
EE88039,135,148925.0
EE88039,136,134628.0
EE88039,137,142328.0
EE88039,138,169695.0
EE88039,139,211224.0
EE88039,140,259991.0
EE88039,141,296244.0
EE88039,142,308420.0
EE88039,143,307170.0
EE88039,144,309798.0
EE88039,145,314885.0
EE88039,146,315103.0
EE88039,147,321497.0
