Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	Gene Synonym
ENSG00000125863	20	10401009	10434222	MKKS	BBS6
ENSG00000285508	20	10413520	10431922	MKKS	BBS6
ENSG00000285723	20	10420546	10420737	MKKS	BBS6
ENSG00000125863	20	10401009	10434222	MKKS	HMCS
ENSG00000285508	20	10413520	10431922	MKKS	HMCS
ENSG00000285723	20	10420546	10420737	MKKS	HMCS
ENSG00000125863	20	10401009	10434222	MKKS	KMS
ENSG00000285508	20	10413520	10431922	MKKS	KMS
ENSG00000285723	20	10420546	10420737	MKKS	KMS
ENSG00000125863	20	10401009	10434222	MKKS	MKS
ENSG00000285508	20	10413520	10431922	MKKS	MKS
ENSG00000285723	20	10420546	10420737	MKKS	MKS
ENSG00000143248	1	163111121	163321791	RGS5	MST092
ENSG00000143248	1	163111121	163321791	RGS5	MST106
ENSG00000143248	1	163111121	163321791	RGS5	MST129
ENSG00000143248	1	163111121	163321791	RGS5	MSTP032
ENSG00000143248	1	163111121	163321791	RGS5	MSTP092
ENSG00000143248	1	163111121	163321791	RGS5	MSTP106
ENSG00000143248	1	163111121	163321791	RGS5	MSTP129
ENSG00000282152	CHR_HSCHR8_1_CTG1	1487682	1552210	DLGAP2	C8orf68
ENSG00000274161	CHR_HSCHR8_5_CTG1	1501879	1707457	DLGAP2	C8orf68
ENSG00000282318	CHR_HSCHR8_7_CTG1	1627028	1708042	DLGAP2	C8orf68
ENSG00000198010	8	737628	1708476	DLGAP2	C8orf68
ENSG00000282152	CHR_HSCHR8_1_CTG1	1487682	1552210	DLGAP2	DAP2
ENSG00000274161	CHR_HSCHR8_5_CTG1	1501879	1707457	DLGAP2	DAP2
ENSG00000282318	CHR_HSCHR8_7_CTG1	1627028	1708042	DLGAP2	DAP2
ENSG00000198010	8	737628	1708476	DLGAP2	DAP2
ENSG00000282152	CHR_HSCHR8_1_CTG1	1487682	1552210	DLGAP2	ERICH1-AS1
ENSG00000274161	CHR_HSCHR8_5_CTG1	1501879	1707457	DLGAP2	ERICH1-AS1
ENSG00000282318	CHR_HSCHR8_7_CTG1	1627028	1708042	DLGAP2	ERICH1-AS1
ENSG00000198010	8	737628	1708476	DLGAP2	ERICH1-AS1
ENSG00000282152	CHR_HSCHR8_1_CTG1	1487682	1552210	DLGAP2	SAPAP2
ENSG00000274161	CHR_HSCHR8_5_CTG1	1501879	1707457	DLGAP2	SAPAP2
ENSG00000282318	CHR_HSCHR8_7_CTG1	1627028	1708042	DLGAP2	SAPAP2
ENSG00000198010	8	737628	1708476	DLGAP2	SAPAP2
ENSG00000015479	5	139293674	139331677	MATR3	ALS21
ENSG00000015479	5	139293674	139331677	MATR3	MPD2
ENSG00000015479	5	139293674	139331677	MATR3	VCPDM
